College,Branch,Category,Rank 2024,Percentile 2024,Rank 2025,Percentile 2025,Rank Change,Percentile Change
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Mechanical Engineering,GOPENS,90207.0,66.1855,93004.0,70.2628,+2797 ↑,+4.0773 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Mechanical Engineering,LOPENS,104820.0,59.9792,94107.0,69.8499,-10713 ↓,+9.8707 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Mechanical Engineering,SC/ST,108773.0,57.2163,118989.0,59.1762,+10216 ↑,+1.9599 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Mechanical Engineering,OBC/SEBC,100589.0,61.3262,97629.0,68.4703,-2960 ↓,+7.1441 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Mechanical Engineering,GNT,106892.0,58.1159,109952.0,63.3986,+3060 ↑,+5.2827 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Mechanical Engineering,TFWS,84605.0,69.066,85087.0,73.2613,+482 ↑,+4.1953 ↑
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Artificial Intelligence and Data Science,GOPENS,60478.0,78.9561,61998.0,81.1324,+1520 ↑,+2.1763 ↑
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Artificial Intelligence and Data Science,LOPENS,59045.0,79.4895,56980.0,82.8373,-2065 ↓,+3.3478 ↑
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Artificial Intelligence and Data Science,SC/ST,77718.0,71.7683,77338.0,75.6538,-380 ↓,+3.8855 ↑
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Artificial Intelligence and Data Science,OBC/SEBC,62993.0,77.8411,65079.0,80.0,+2086 ↑,+2.1589 ↑
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Artificial Intelligence and Data Science,GNT,61742.0,78.2153,68348.0,79.028,+6606 ↑,+0.8127 ↑
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Artificial Intelligence and Data Science,EWS,150116.0,30.8566,140083.0,49.2256,-10033 ↓,+18.369 ↑
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Artificial Intelligence and Data Science,TFWS,40089.0,86.2191,53742.0,83.8802,+13653 ↑,-2.3389 ↓
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Civil Engineering,GOPENS,86337.0,68.1767,97944.0,68.3753,+11607 ↑,+0.1986 ↑
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Civil Engineering,LOPENS,71460.0,74.4422,85280.0,73.2613,+13820 ↑,-1.1809 ↓
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Civil Engineering,SC/ST,109117.0,57.196,107717.0,64.2631,-1400 ↓,+7.0671 ↑
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Civil Engineering,OBC/SEBC,90829.0,65.9366,105399.0,65.5191,+14570 ↑,-0.4175 ↓
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Civil Engineering,GNT,104688.0,59.9792,99605.0,67.8237,-5083 ↓,+7.8445 ↑
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Civil Engineering,TFWS,137888.0,39.5391,181752.0,22.0347,+43864 ↑,-17.5044 ↓
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",Computer Science and Engineering,GOPENS,40238.0,86.197,45905.0,86.3462,+5667 ↑,+0.1492 ↑
